experiment_id,a1_x,a1_y,a1_z,a2_x,a2_y,a2_z
31,146612.18256944077,111752.81534714716,130468.45745933316,211058.18896896677,227816.30179690622,170616.01307462258
32,124555.06851769914,95557.66361723628,118825.55083470368,167792.54976705907,193048.28077817705,139506.63789086792
33,118239.7243255446,85119.54423384486,103908.0028516826,156358.37254321296,162815.5163636692,148834.9287004391
34,158795.50765704826,119005.22877004971,170362.33885899105,198312.37463101317,178618.4771874611,286143.9374433944
35,126892.1197224049,83397.10346012132,101298.12485842781,161437.87789856753,159705.5248873781,131102.94319803617
36,151902.5242610973,118117.75847666581,107222.50050741238,220923.5309946584,255492.0305349077,159381.09536450272
37,139352.84800842794,95036.27131172825,112147.22932519765,200996.46852902434,202231.12977144908,159568.74247114974
38,150673.1349440771,135550.7554831024,111630.25927593923,220774.46051941434,273517.25479941024,173486.40467544284
39,145347.9665815375,136004.25675835443,132298.75316677513,208543.39717220562,264356.1219110697,209722.51391872266
40,131627.99777486263,113254.48364606193,119657.85141318945,177847.49220270698,212617.7617955092,168650.01056714405
41,222573.4694058201,251704.38253825885,228562.12187610185,228077.17803698353,345711.26187269617,453794.3236047605
42,122157.29044567255,82102.16136739797,98859.67720497484,189528.6513611426,153553.52987966946,118660.30951374031
43,201191.4577737314,191036.37985575353,223964.9774708683,210065.98586053427,256185.03957481892,350153.7537523146
44,127968.42371711128,102976.2356776511,119074.62352622265,173275.70130372467,166788.7885147081,246075.07209485158
45,124604.31791694598,100667.9087383693,100001.83170187968,237446.43470111565,231913.1896165572,178209.3854960873
46,122782.83374576223,97447.04619673015,105235.64521184006,210685.8832735049,196413.40050335944,181744.0313550676
47,113892.60948635607,74938.7287327018,102840.99740134733,210118.72010520712,191747.99758125047,148570.26699301696
48,145382.17525695998,105731.73903980666,117089.05162143362,256284.75344194003,231530.9426960086,245352.94597883677
49,113014.31443621995,77888.36524769374,121837.48119595998,206525.01063575633,185351.21727559943,191424.85196403155
50,148656.55338003873,118452.1445926491,122070.94387343634,253232.30065240033,249939.490178371,257523.61220447495
51,116016.72153190106,82216.15417588504,99243.02545528958,192899.05394232838,180783.45199208046,143423.87267760525
52,135413.53023107728,98690.8159128931,104861.48434150853,240332.14407390158,223099.5012468709,149531.68100724282
53,148358.11599978537,107560.76993006482,109559.45049452422,245090.15545364606,227533.72145344646,152032.79867042034
54,125857.62112740718,91606.20916040208,99934.15616708554,205278.34388100158,173841.04903414662,142280.57867585708
55,153828.7746914559,104697.82219680221,120871.97376576632,226587.45180447068,188202.5845931599,167880.05647566076
56,183511.89372311183,138497.7299281412,148434.99663371977,223271.37676490028,228564.1964481806,351372.5238186006
57,154504.0383474939,121332.9500319326,121692.15622540965,258662.3018069956,247325.22489491885,236114.5067501047
58,151656.5643106131,128661.0144080798,125492.1317222588,241721.3368808518,231457.59720557995,191169.86421913476
59,148378.21297967312,118991.63543635215,136024.2535755043,230033.56008144692,208470.62089046638,238208.65506036658
60,135277.9911397277,103302.6388849642,122078.21592121947,209081.31000169608,210327.00424656057,187952.64490052313
61,132716.3440215454,95235.24264842318,117639.62762080602,243643.67055511218,185262.74590412038,146341.54698010773
62,135033.21219954037,101646.17363047018,117210.43575788611,232632.39453363395,213054.93683462995,169823.00871866298
63,122173.77386594536,87204.3735749963,114377.18517906236,200271.17727692844,186498.80440516616,142488.44242053025
64,110992.4975998909,88640.71503000824,107055.5330729422,179974.89710205392,173516.95299354516,194772.46152414597
65,122594.12069272359,95237.24040156629,105926.02545475944,203034.70578017918,200972.14339927197,156595.0965616122
66,125049.4765819066,92231.8293556217,112691.17766694532,247839.4521038521,218946.8116010123,190822.55843120994
67,106266.52030603426,86147.38125210155,104458.30724177088,188360.64997903135,188587.10873171117,155093.08683852153
68,90747.16109707876,61381.40634236919,105346.07505963206,110638.95190149709,89694.74205099822,130404.19571029178
69,108110.24930772775,82347.54680614895,133821.25502196795,112254.49428363012,111025.30577141483,269679.7882822544
70,76073.50177185022,46276.27015688648,98051.47072547718,88534.84592127598,76199.83489007714,113334.67577208998
